input_url,http_status,final_url,status,product_url,notes
https://sunhouse.com.vn/search/SHB8615SEB1,200,https://sunhouse.com.vn/search/SHB8615SEB1,not_found,,long not-found message
https://sunhouse.com.vn/search/SHB3105MD,200,https://sunhouse.com.vn/search/SHB3105MD,unknown,,no signals found
https://sunhouse.com.vn/search/MMB33082-VMD,200,https://sunhouse.com.vn/search/MMB33082-VMD,unknown,,no signals found
https://sunhouse.com.vn/search/UTM73023-T,200,https://sunhouse.com.vn/search/UTM73023-T,not_found,,long not-found message
https://sunhouse.com.vn/search/SHB8014SMB1,200,https://sunhouse.com.vn/search/SHB8014SMB1,not_found,,long not-found message
https://sunhouse.com.vn/search/SHB52099HP,200,https://sunhouse.com.vn/search/SHB52099HP,unknown,,no signals found
https://sunhouse.com.vn/search/SHB31042-V,200,https://sunhouse.com.vn/search/SHB31042-V,unknown,,no signals found
https://sunhouse.com.vn/search/SHB32102-V,200,https://sunhouse.com.vn/search/SHB32102-V,unknown,,no signals found
https://sunhouse.com.vn/search/SHB32062-V,200,https://sunhouse.com.vn/search/SHB32062-V,unknown,,no signals found
https://sunhouse.com.vn/search/SHB72072-MT,200,https://sunhouse.com.vn/search/SHB72072-MT,unknown,,no signals found
https://sunhouse.com.vn/search/MMB9303,200,https://sunhouse.com.vn/search/MMB9303,unknown,,no signals found
https://sunhouse.com.vn/search/SHB72021-MT,200,https://sunhouse.com.vn/search/SHB72021-MT,unknown,,no signals found
https://sunhouse.com.vn/search/SHB52039HP,200,https://sunhouse.com.vn/search/SHB52039HP,unknown,,no signals found
https://sunhouse.com.vn/search/MMB9200MIX,200,https://sunhouse.com.vn/search/MMB9200MIX,unknown,,no signals found
https://sunhouse.com.vn/search/SHB32052-V,200,https://sunhouse.com.vn/search/SHB32052-V,unknown,,no signals found
https://sunhouse.com.vn/search/SHB32042-V,200,https://sunhouse.com.vn/search/SHB32042-V,unknown,,no signals found
https://sunhouse.com.vn/search/SHB72113-MT,200,https://sunhouse.com.vn/search/SHB72113-MT,unknown,,no signals found
https://sunhouse.com.vn/search/SHB82311,200,https://sunhouse.com.vn/search/SHB82311,unknown,,no signals found
https://sunhouse.com.vn/search/MMB5588,200,https://sunhouse.com.vn/search/MMB5588,unknown,,no signals found
https://sunhouse.com.vn/search/SHB72105-MT,200,https://sunhouse.com.vn/search/SHB72105-MT,unknown,,no signals found
https://sunhouse.com.vn/search/SHB32012-VMC,200,https://sunhouse.com.vn/search/SHB32012-VMC,unknown,,no signals found
https://sunhouse.com.vn/search/SHB3016E,200,https://sunhouse.com.vn/search/SHB3016E,unknown,,no signals found
https://sunhouse.com.vn/search/SHB31012-VMC,200,https://sunhouse.com.vn/search/SHB31012-VMC,unknown,,no signals found
https://sunhouse.com.vn/search/SHB5HM-V9Turbo,200,https://sunhouse.com.vn/search/SHB5HM-V9Turbo,unknown,,no signals found
https://sunhouse.com.vn/search/SHB72103-MD1,200,https://sunhouse.com.vn/search/SHB72103-MD1,not_found,,long not-found message
https://sunhouse.com.vn/search/SHB5566 Seri 8.0,200,https://sunhouse.com.vn/search/SHB5566%20Seri%208.0,unknown,,no signals found
https://sunhouse.com.vn/search/SHB82938,200,https://sunhouse.com.vn/search/SHB82938,unknown,,no signals found
https://sunhouse.com.vn/search/SHB5HM-V8Turbo,200,https://sunhouse.com.vn/search/SHB5HM-V8Turbo,unknown,,no signals found
