ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
515892757,2025-10-21T05:09:52.741000,2025-10-21T05:12:07.797000,buy,0.03,0.03,XAUUSD,4334.58,4333.08,4333.08,,0,0,-4.5,,,sl
515868363,2025-10-21T05:05:56.118000,2025-10-21T05:06:24.255000,buy,0.03,0.03,XAUUSD,4338.783,4337.118,4337.118,4364.3,0,0,-5,,,sl
515854990,2025-10-21T04:42:10.462000,2025-10-21T04:51:04.262000,buy,0.03,0.03,XAUUSD,4340.176,4338.676,4338.676,4350.839,0,0,-4.5,,,sl
515846770,2025-10-21T04:38:27.102000,2025-10-21T04:40:30.432000,buy,0.03,0.03,XAUUSD,4341.455,4339.393,4339.955,,0,0,-6.19,,,sl
515838703,2025-10-21T04:28:49.507000,2025-10-21T04:30:17.465000,buy,0.03,0.03,XAUUSD,4343.4,4341.568,4341.9,,0,0,-5.5,,,sl
515827769,2025-10-21T04:14:32.082000,2025-10-21T04:23:00.301000,buy,0.03,0.03,XAUUSD,4344.093,4342.66,4342.66,4352.115,0,0,-4.3,,,sl
515733881,2025-10-21T02:50:14.313000,2025-10-21T04:23:00.256000,buy,0.01,0.01,XAUUSD,4337.105,4342.646,4342.646,4352.105,0,0,5.54,,,sl
515730449,2025-10-21T02:49:16.620000,2025-10-21T02:49:36.523000,buy,0.02,0.02,XAUUSD,4339.925,4337.425,4337.425,,0,0,-5,,,sl
515694415,2025-10-21T02:35:27.152000,2025-10-21T02:39:10.342000,buy,0.02,0.02,XAUUSD,4341.235,4338.446,4338.735,4353.735,0,0,-5.58,,,sl
515262796,2025-10-20T17:36:11.816000,2025-10-20T18:02:24.988000,buy,0.01,0.02,XAUUSD,4338.803,4347.822,4339.098,4370.294,0,0,9.02,,,user
515262796,2025-10-20T17:36:11.816000,2025-10-20T17:49:22.618000,buy,0.01,0.02,XAUUSD,4338.803,4346.453,4339.098,4370.294,,0,7.65,,,user
515259968,2025-10-20T17:34:08.473000,2025-10-20T17:35:37.533000,buy,0.02,0.02,XAUUSD,4339.896,4338.002,4338.396,,0,0,-3.79,,,sl
515255881,2025-10-20T17:30:54.443000,2025-10-20T17:33:08.225000,buy,0.02,0.02,XAUUSD,4341.522,4339.516,4339.794,,0,0,-4.01,,,sl
515153824,2025-10-20T16:06:51.227000,2025-10-20T17:18:58.394000,sell,0.02,0.02,XAUUSD,4349.62,4341.1,4352.02,4341.1,0,0,17.04,,,tp
515072157,2025-10-20T15:21:57.596000,2025-10-20T17:18:58.394000,sell,0.02,0.02,XAUUSD,4353.6,4341.1,4356.1,4341.1,0,0,25,,,tp
515060212,2025-10-20T15:17:35.333000,2025-10-20T15:18:06.035000,sell,0.02,0.02,XAUUSD,4349.198,4351.698,4351.698,,0,0,-5,,,sl
515035465,2025-10-20T15:09:11.237000,2025-10-20T15:10:07.288000,sell,0.02,0.02,XAUUSD,4339.94,4342.44,4342.44,4321.701,0,0,-5,,,sl
515020190,2025-10-20T15:02:12.145000,2025-10-20T15:03:00.755000,sell,0.02,0.02,XAUUSD,4335.365,4338.942,4337.865,4322.865,0,0,-7.15,,,sl
514997569,2025-10-20T14:51:28.711000,2025-10-20T14:59:21.671000,sell,0.02,0.02,XAUUSD,4332.31,4334.81,4334.81,4322.26,0,0,-5,,,sl
514938074,2025-10-20T14:25:56.731000,2025-10-20T14:47:02.560000,sell,0.02,0.02,XAUUSD,4332.27,4332.26,4332.26,4301.354,0,0,0.02,,,sl
514902159,2025-10-20T14:12:26.583000,2025-10-20T14:15:11.430000,sell,0.02,0.02,XAUUSD,4315.2,4317.7,4317.7,4292.641,0,0,-5,,,sl
514832616,2025-10-20T13:46:36.833000,2025-10-20T13:59:23.226000,buy,0.02,0.02,XAUUSD,4305.138,4302.345,4302.628,4355.228,0,0,-5.59,,,sl
512609381,2025-10-17T19:17:17.995000,2025-10-17T19:19:13.764000,buy,0.02,0.02,XAUUSD,4219.37,4216.87,4216.87,4244.911,0,0,-5,,,sl
512219813,2025-10-17T15:20:38.317000,2025-10-17T15:35:00.299000,buy,0.01,0.01,XAUUSD,4234.672,4254.672,4230.475,4254.672,0,0,20,,,tp
512007807,2025-10-17T14:01:56.322000,2025-10-17T14:02:48.300000,buy,0.01,0.01,XAUUSD,4261.925,4257.925,4257.925,,0,0,-4,,,sl
509804132,2025-10-16T15:06:02.065000,2025-10-16T15:06:24.934000,sell,0.02,0.02,XAUUSD,4265.9,4267.9,4267.9,4248.251,0,0,-4,,,sl
