ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
201513920,2025-10-30T06:36:39.362000,2025-10-30T06:57:29.751000,buy,0.02,0.03,XAUUSD,3957.685,3972.699,3956.185,3972.699,0,0,30.03,,,tp
201513920,2025-10-30T06:36:39.362000,2025-10-30T06:50:39.103000,buy,0.01,0.03,XAUUSD,3957.685,3967.543,3956.185,3972.699,,0,9.85,,,user
201494165,2025-10-30T06:12:12.858000,2025-10-30T06:12:23.792000,buy,0.03,0.03,XAUUSD,3959.03,3957.53,3957.53,,0,0,-4.5,,,sl
201204881,2025-10-30T02:38:12.478000,2025-10-30T02:56:02.538000,sell,0.02,0.03,XAUUSD,3941.577,3924.795,3943.081,3924.795,0,0,33.56,,,tp
201204881,2025-10-30T02:38:12.478000,2025-10-30T02:47:57.210000,sell,0.01,0.03,XAUUSD,3941.577,3932.3410000000003,3943.081,3924.795,,0,9.24,,,user
201207187,2025-10-30T02:33:22.804000,2025-10-30T02:33:36.548000,sell,0.03,0.03,XAUUSD,3937.329,3938.73,3938.73,3926.494,0,0,-4.2,,,sl
200973263,2025-10-29T19:39:52.779000,2025-10-29T19:40:16.123000,buy,0.03,0.03,XAUUSD,3939.272,3937.29,3937.757,3957.292,0,0,-5.95,,,sl
200975277,2025-10-29T19:39:26.355000,2025-10-29T19:40:16.086000,buy,0.02,0.02,XAUUSD,3940.235,3937.29,3937.711,3957.285,0,0,-5.89,,,sl
200970925,2025-10-29T19:32:41.900000,2025-10-29T19:33:13.376000,buy,0.03,0.03,XAUUSD,3944.303,3941.2760000000003,3942.676,3977.648,0,0,-9.08,,,sl
200945283,2025-10-29T19:31:15.590000,2025-10-29T19:31:29.620000,buy,0.03,0.03,XAUUSD,3949.492,3946.699,3947.832,3979.635,0,0,-8.38,,,sl
200884271,2025-10-29T18:33:04.107000,2025-10-29T18:55:17.502000,sell,0.02,0.02,XAUUSD,3987.706,3963.4550000000004,3972.026,3915.891,0,0,48.5,,,user
200882921,2025-10-29T18:33:04.224000,2025-10-29T18:39:42.850000,sell,0.03,0.03,XAUUSD,3988.234,3954.045,3989.775,3915.612,0,0,102.56,,,user
200880596,2025-10-29T18:29:08.725000,2025-10-29T18:31:00.823000,buy,0.03,0.03,XAUUSD,3978.055,3986.579,3976.524,3986.579,0,0,25.57,,,tp
200830213,2025-10-29T18:02:08.959000,2025-10-29T18:02:10.290000,sell,0.03,0.03,XAUUSD,3996.55,3998.309,3998.064,,0,0,-5.28,,,sl
200818385,2025-10-29T17:57:36.509000,2025-10-29T18:00:30.952000,sell,0.02,0.02,XAUUSD,3994.809,3995.2650000000003,3994.784,,0,0,-0.91,,,sl
200810251,2025-10-29T17:48:00.505000,2025-10-29T17:50:21.525000,sell,0.03,0.03,XAUUSD,3993.958,3995.469,3995.469,,0,0,-4.54,,,sl
200802807,2025-10-29T17:43:13.436000,2025-10-29T17:45:49.748000,buy,0.03,0.03,XAUUSD,3992.622,3992.913,3991.246,,0,0,0.87,,,user
200771271,2025-10-29T17:05:22.243000,2025-10-29T17:29:05.465000,buy,0.03,0.03,XAUUSD,3990.67,3989.17,3989.17,4043.736,0,0,-4.5,,,sl
200769268,2025-10-29T17:01:40.931000,2025-10-29T17:02:02.209000,buy,0.03,0.03,XAUUSD,3992.354,3991.252,3991.252,,0,0,-3.3,,,sl
200766738,2025-10-29T16:56:56.431000,2025-10-29T16:59:14.493000,buy,0.03,0.03,XAUUSD,3994.327,3992.827,3992.827,,0,0,-4.5,,,sl
200753626,2025-10-29T16:52:56.110000,2025-10-29T16:54:14.076000,buy,0.03,0.03,XAUUSD,3995.5,3994,3994,4030.343,0,0,-4.5,,,sl
200716636,2025-10-29T16:31:11.281000,2025-10-29T16:38:09.596000,buy,0.03,0.03,XAUUSD,3997.22,3995.72,3995.72,4058.744,0,0,-4.5,,,sl
200680473,2025-10-29T15:45:15.512000,2025-10-29T15:46:00.941000,buy,0.03,0.03,XAUUSD,4003.25,4001.77,4001.77,4016.918,0,0,-4.44,,,sl
200551028,2025-10-29T14:31:52.519000,2025-10-29T15:27:25.996000,sell,0.01,0.03,XAUUSD,4021.068,4002.1220000000003,4012.308,4002.523,0,0,18.95,,,tp
200551028,2025-10-29T14:31:52.519000,2025-10-29T15:23:58.014000,sell,0.01,0.03,XAUUSD,4021.068,4006.045,4012.308,4002.523,,0,15.02,,,user
200551028,2025-10-29T14:31:52.519000,2025-10-29T14:42:39.133000,sell,0.01,0.03,XAUUSD,4021.068,4009.969,4012.308,4002.523,,0,11.1,,,user
200572256,2025-10-29T14:26:19.530000,2025-10-29T14:31:40.973000,sell,0.03,0.03,XAUUSD,4018.61,4020.11,4020.11,,0,0,-4.5,,,sl
200365827,2025-10-29T12:23:03.174000,2025-10-29T14:00:09.226000,sell,0.02,0.02,XAUUSD,4027.96,4014.46,4014.207,3886.552,0,0,27,,,sl
200363869,2025-10-29T12:25:36.634000,2025-10-29T14:00:09.226000,sell,0.03,0.03,XAUUSD,4028.96,4014.46,4014.224,3886.704,0,0,43.5,,,sl
200527597,2025-10-29T14:00:07.091000,2025-10-29T14:00:09.105000,sell,0.03,0.03,XAUUSD,4012.72,4014.24,4014.24,,0,0,-4.56,,,sl
200456080,2025-10-29T13:27:13.720000,2025-10-29T14:00:09.086000,sell,0.03,0.03,XAUUSD,4019.18,4014.241,4014.241,3886.472,0,0,14.82,,,sl
200277583,2025-10-29T11:11:00.621000,2025-10-29T12:15:12.840000,sell,0.02,0.02,XAUUSD,4027.64,4030.14,4030.14,3977.371,0,0,-5,,,sl
200315863,2025-10-29T12:12:27.468000,2025-10-29T12:13:04.730000,sell,0.02,0.02,XAUUSD,4023.64,4026.14,4026.14,,0,0,-5,,,sl
199221739,2025-10-28T15:56:26.084000,2025-10-28T17:14:22.727000,sell,0.02,0.02,XAUUSD,3967.3,3969.8,3969.8,3905.528,0,0,-5,,,sl
199098097,2025-10-28T14:32:49.505000,2025-10-28T14:49:27.196000,sell,0.02,0.02,XAUUSD,3948.04,3950.54,3950.54,,0,0,-5,,,sl
199058796,2025-10-28T14:13:58.763000,2025-10-28T14:26:00.396000,sell,0.02,0.02,XAUUSD,3942.52,3946.496,3945.02,,0,0,-7.95,,,sl
199049855,2025-10-28T14:04:57.628000,2025-10-28T14:07:33.633000,sell,0.02,0.02,XAUUSD,3941,3943.5,3943.5,,0,0,-5,,,sl
199035849,2025-10-28T13:58:16.637000,2025-10-28T13:58:26.916000,sell,0.02,0.02,XAUUSD,3934.38,3936.88,3936.88,3886.79,0,0,-5,,,sl
198985165,2025-10-28T13:50:00.800000,2025-10-28T13:50:41.445000,sell,0.02,0.02,XAUUSD,3931.5,3934,3934,3886.338,0,0,-5,,,sl
199007350,2025-10-28T13:46:21.068000,2025-10-28T13:47:39.587000,sell,0.02,0.02,XAUUSD,3927.4,3930.3740000000003,3929.9,3886.301,0,0,-5.95,,,sl
198833806,2025-10-28T12:30:00.101000,2025-10-28T12:30:02.256000,buy,0.03,0.03,XAUUSD,3921.895,3920.487,3920.487,3929.985,0,0,-4.23,,,sl
198797141,2025-10-28T11:33:29.866000,2025-10-28T11:42:54.858000,sell,0.02,0.02,XAUUSD,3925.09,3927.59,3927.59,3900.09,0,0,-5,,,sl
197720617,2025-10-27T18:08:39.122000,2025-10-28T00:16:48.432000,sell,0.02,0.02,XAUUSD,4008.243,3984.8630000000003,4010.444,3971.061,0,0,46.76,,,user
197720193,2025-10-27T18:10:05.518000,2025-10-27T23:49:51.769000,sell,0.04,0.04,XAUUSD,4009.15,3998.8650000000002,4010.453,3971.04,0,0,41.14,,,user
197717085,2025-10-27T18:04:55.180000,2025-10-27T18:05:53.073000,sell,0.02,0.02,XAUUSD,4006.5,4009.1,4009.1,3989.279,0,0,-5.2,,,sl
197716691,2025-10-27T18:05:20.259000,2025-10-27T18:05:53.051000,sell,0.04,0.04,XAUUSD,4007.5,4009.1,4009.1,3971.45,0,0,-6.4,,,sl
197707853,2025-10-27T17:49:27.663000,2025-10-27T17:57:49.057000,sell,0.04,0.04,XAUUSD,4006.85,4008.21,4008.21,3971.359,0,0,-5.44,,,sl
197694215,2025-10-27T17:46:08.830000,2025-10-27T17:46:26.898000,sell,0.04,0.04,XAUUSD,4005.76,4007.26,4007.26,3948.116,0,0,-6,,,sl
197693014,2025-10-27T17:29:55.015000,2025-10-27T17:30:08.398000,sell,0.04,0.04,XAUUSD,4005.34,4007.213,4006.832,,0,0,-7.49,,,sl
197669102,2025-10-27T17:06:51.015000,2025-10-27T17:28:29.872000,sell,0.03,0.03,XAUUSD,4002.966,4004.395,4004.395,3971.342,0,0,-4.29,,,sl
197662341,2025-10-27T16:59:57.167000,2025-10-27T17:00:32.185000,sell,0.03,0.03,XAUUSD,3999.038,4000.712,4000.712,,0,0,-5.03,,,sl
197662221,2025-10-27T17:00:00.407000,2025-10-27T17:00:32.175000,sell,0.04,0.04,XAUUSD,3999.56,4000.72,4000.72,,0,0,-4.64,,,sl
197659869,2025-10-27T16:57:53.875000,2025-10-27T16:59:05.035000,sell,0.03,0.03,XAUUSD,3999.21,4000.11,4000.11,,0,0,-2.7,,,sl
197659628,2025-10-27T16:57:51.139000,2025-10-27T16:59:04.981000,sell,0.03,0.03,XAUUSD,3998.6,4000.11,4000.11,,0,0,-4.53,,,sl
197622750,2025-10-27T16:55:20.462000,2025-10-27T16:56:21.455000,sell,0.03,0.03,XAUUSD,3996.77,3998.4,3998.4,3949.419,0,0,-4.89,,,sl
197626210,2025-10-27T16:49:05.170000,2025-10-27T16:56:21.290000,sell,0.02,0.02,XAUUSD,3995.89,3998.4,3998.4,3949.361,0,0,-5.02,,,sl
197619897,2025-10-27T16:18:33.185000,2025-10-27T16:18:57.603000,sell,0.04,0.04,XAUUSD,3996.27,3997.49,3997.49,3973.857,0,0,-4.88,,,sl
197617709,2025-10-27T16:16:13.604000,2025-10-27T16:16:33.792000,sell,0.04,0.04,XAUUSD,3994.683,3995.91,3995.91,,0,0,-4.91,,,sl
197616323,2025-10-27T16:15:14.359000,2025-10-27T16:15:19.465000,sell,0.04,0.04,XAUUSD,3994.16,3995.21,3995.21,3976.411,0,0,-4.2,,,sl
197614169,2025-10-27T16:12:43.551000,2025-10-27T16:13:47.664000,sell,0.03,0.03,XAUUSD,3993.277,3994.977,3994.977,3971.296,0,0,-5.1,,,sl
197566741,2025-10-27T16:00:17.699000,2025-10-27T16:11:38.609000,sell,0.02,0.02,XAUUSD,3991.4,3993.9,3993.9,,0,0,-5,,,sl
197546265,2025-10-27T15:29:03.756000,2025-10-27T15:30:15.118000,sell,0.02,0.02,XAUUSD,3986.4,3989.338,3988.9,3970.56,0,0,-5.88,,,sl
197512624,2025-10-27T15:05:48.111000,2025-10-27T15:07:13.825000,buy,0.02,0.02,XAUUSD,3978.923,3975.931,3976.423,3993.928,0,0,-5.99,,,sl
197492222,2025-10-27T14:58:13.001000,2025-10-27T15:00:33.325000,buy,0.02,0.02,XAUUSD,3985.21,3982.428,3982.71,3997.747,0,0,-5.56,,,sl
197276008,2025-10-27T13:26:49.825000,2025-10-27T13:27:07.201000,buy,0.02,0.02,XAUUSD,4036.989,4033.991,4034.968,,0,0,-6,,,sl
